name,country,x,y,geometry,bidding_zone,NUTS_NAME,NUTS_ID
DE0 61,DE,11.017914,51.475396,POINT (11.017914 51.475396),1875.0,Sachsen-Anhalt,DEE
DE0 62,DE,10.7707215,48.1663275,POINT (10.7707215 48.1663275),1890.0,Bayern,DE2
DE0 63,DE,9.433822500000009,49.6937595,POINT (9.433822500000009 49.6937595),1889.0,Baden-Württemberg,DE1
DE0 64,DE,9.404493142857143,53.891828142857136,POINT (9.404493142857143 53.891828142857136),1854.0,Schleswig-Holstein,DEF
DE0 65,DE,14.092026,54.607454,POINT (14.092026 54.607454),,,
DE0 66,DE,6.489486499999989,50.882648,POINT (6.489486499999989 50.882648),1871.0,Nordrhein-Westfalen,DEA
DE0 67,DE,14.440155,52.114939,POINT (14.440155 52.114939),1892.0,Brandenburg,DE4
DE0 68,DE,8.390808,53.343173,POINT (8.390808 53.343173),1870.0,Niedersachsen,DE9
DE0 69,DE,10.9135435,52.2718885,POINT (10.9135435 52.2718885),1870.0,Niedersachsen,DE9
DE0 7,DE,11.453247,50.981776,POINT (11.453247 50.981776),1855.0,Thüringen,DEG
DE0 70,DE,12.23259,48.648788,POINT (12.23259 48.648788),1890.0,Bayern,DE2
DE0 71,DE,10.0634765,48.241121500000006,POINT (10.0634765 48.241121500000006),1889.0,Baden-Württemberg,DE1
DE0 72,DE,13.914185,51.894292,POINT (13.914185 51.894292),1892.0,Brandenburg,DE4
DE0 73,DE,8.014526333333336,52.33244933333333,POINT (8.014526333333336 52.33244933333333),1870.0,Niedersachsen,DE9
DE0 74,DE,11.807556,51.415482,POINT (11.807556 51.415482),1875.0,Sachsen-Anhalt,DEE
DE0 75,DE,12.741394,48.801436,POINT (12.741394 48.801436),1890.0,Bayern,DE2
DE0 76,DE,13.447266,51.299711,POINT (13.447266 51.299711),1874.0,Sachsen,DED
DE0 77,DE,11.979218,47.941187,POINT (11.979218 47.941187),1890.0,Bayern,DE2
