,p_nom_max,weight,p_nom,capital_cost,carrier,efficiency,co2_fac,p_nom_extendable,bus,marginal_cost,control,p_nom_opt,type,p_nom_min,p_min_pu,p_max_pu,p_set,q_set,sign,build_year,lifetime,committable,start_up_cost,shut_down_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,index,old_index,country,bidding_zone
2022,6422.163322,2119.348361,0.0,109295.5693,onwind,1.0,0.0,True,GB5 28,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,276,GB5 28,UK,UK
2023,3204.313331,261.2482533,0.0,55064.07142,solar,1.0,0.0,True,GB5 28,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,276,GB5 28,UK,UK
2024,inf,0.0,420.0,0.0,CCGT,0.5,0.2052,False,GB5 29,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2025,inf,0.0,4.5,0.0,biomass,0.468,0.0,False,GB5 29,14.95726496,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2026,3326.273237,1618.771437,0.0,198663.2994,offwind-ac,1.0,0.0,True,GB5 29,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2027,3375.983027,1818.920434,0.0,218089.0365,offwind-dc,1.0,0.0,True,GB5 29,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2028,2357.049973,910.4443452,0.0,109295.5693,onwind,1.0,0.0,True,GB5 29,0.015,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2029,2138.556786,209.7633723,0.0,55064.07142,solar,1.0,0.0,True,GB5 29,0.01,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,277,GB5 29,UK,UK
2030,inf,0.0,2440.0,0.0,CCGT,0.5,0.2052,False,GB5 3,47.2,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
2031,inf,0.0,600.0,0.0,OCGT,0.39,0.2052,False,GB5 3,58.38461538,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,inf,False,0.0,0.0,0.0,0.0,1.0,0.0,,,1.0,1.0,278,GB5 3,UK,UK
